#TEXT,NUM,NUM,NUM,NUM,NUM,NUM,FLOAT,FLOAT,FLOAT
id,strength,intelligence,speed,defense,health,energy,healRatio,criticalRatio,criticalDmg
#id,力量,智力,速度,防御,体力,初始能量,被治疗加成,暴击率,暴击伤害
1,10,10,10,10,10,0,0,0,0
2,99999,99999,99999,99999,99999,0,0,0,0
3,12,12,12,12,12,0,0,0,0
4,13,13,13,13,13,0,0,0,0
5,14,14,14,14,14,0,0,0,0
6,15,15,15,15,15,0,0,0,0
7,16,16,16,16,16,0,0,0,0
8,17,17,17,17,17,0,0,0,0
9,18,18,18,18,18,0,0,0,0
10,19,19,19,19,19,0,0,0,0
11,20,20,20,20,20,0,0,0,0
12,21,21,21,21,21,0,0,0,0
13,22,22,22,22,22,0,0,0,0
14,23,23,23,23,23,0,0,0,0
15,24,24,24,24,24,0,0,0,0
16,25,25,25,25,25,0,0,0,0
17,26,26,26,26,26,0,0,0,0
18,27,27,27,27,27,0,0,0,0
30001,1,1,0,0,0,0,0,0,0
30002,2,2,0,0,0,0,0,0,0
30003,3,3,0,0,0,0,0,0,0
30004,4,4,0,0,0,0,0,0,0
30005,99,99,0,0,0,0,0,0,0
30006,999,999,0,0,0,0,0,0,0
30007,9999,9999,0,0,0,0,0,0,0
30008,99999,99999,0,0,0,0,0,0,0
30009,0,0,5,5,0,0,0,0,0
30010,0,0,6,6,0,0,0,0,0
30011,0,0,7,7,0,0,0,0,0
30012,0,0,8,8,0,0,0,0,0
30021,0,0,99,99,0,0,0,0,0
30022,0,0,999,999,0,0,0,0,0
30023,0,0,9999,9999,0,0,0,0,0
30024,0,0,99999,99999,0,0,0,0,0
30025,0,11,0,0,11,0,0,0,0
30026,0,12,0,0,12,0,0,0,0
30027,0,13,0,0,13,0,0,0,0
30028,0,14,0,0,14,0,0,0,0
30029,0,99,0,0,99,0,0,0,0
30030,0,999,0,0,999,0,0,0,0
30031,0,9999,0,0,9999,0,0,0,0
30032,0,99999,0,0,99999,0,0,0,0
