#TEXT,NUM,NUM,NUM,NUM,TEXT,NUM,NUM,TEXT,TEXT,FLOAT,TEXT,NUM,FLOAT,NUM,NUM,TEXT,NUM,NUM,NUM,TEXT,FLOAT
id,effectType,casterType,targetType,energy,effectList,count,camp,searchEffect,effectStartID,startDelayTime,periodEffectList,damageType,attackFactor,isHeal,damageProperty,buffID,buffValidatorNum,dispelCategory,fixLifeRatio,linkEffect,chance
#e1,3,1,0,0,,,,,,,,1,100,0,2,,12345,,0,linkEffect,chance
defende1,2,1,1,0,,,,,defende2,1,"""""",,,,,,12345,,,,1
defende2,4,1,1,0,,,,,,,,,,,,defendb1,12345,,,,1
attackMetalCutSlighte1,2,1,0,0,,,,,attackMetalCutSlighte2,1,"""""",,,,,,12345,,,,1
attackMetalCutSlighte2,3,1,0,0,,,,,,,,0,1.3,0,1,,12345,,0,,1
attackMetalCutMediume1,2,1,0,0,,,,,attackMetalCutMediume2,1,"""""",,,,,,12345,,,,1
attackMetalCutMediume2,3,1,0,0,,,,,,,,0,1.5,0,1,,12345,,0,,1
attackMetalCutStronge1,2,1,0,0,,,,,attackMetalCutStronge2,1,"""""",,,,,,12345,,,,1
attackMetalCutStronge2,3,1,0,0,,,,,,,,0,1.8,0,1,,12345,,0,,1
attackPlantCutSlighte1,2,1,0,0,,,,,attackPlantCutSlighte2,1,"""""",,,,,,12345,,,,1
attackPlantCutSlighte2,3,1,0,0,,,,,,,,0,1.3,0,2,,12345,,0,,1
attackPlantCutMediume1,2,1,0,0,,,,,attackPlantCutMediume2,1,"""""",,,,,,12345,,,,1
attackPlantCutMediume2,3,1,0,0,,,,,,,,0,1.5,0,2,,12345,,0,,1
attackPlantCutStronge1,2,1,0,0,,,,,attackPlantCutStronge2,1,"""""",,,,,,12345,,,,1
attackPlantCutStronge2,3,1,0,0,,,,,,,,0,1.8,0,2,,12345,,0,,1
attackWaterCutSlighte1,2,1,0,0,,,,,attackWaterCutSlighte2,1,"""""",,,,,,12345,,,,1
attackWaterCutSlighte2,3,1,0,0,,,,,,,,0,1.3,0,3,,12345,,0,,1
attackWaterCutMediume1,2,1,0,0,,,,,attackWaterCutMediume2,1,"""""",,,,,,12345,,,,1
attackWaterCutMediume2,3,1,0,0,,,,,,,,0,1.5,0,3,,12345,,0,,1
attackWaterCutStronge1,2,1,0,0,,,,,attackWaterCutStronge2,1,"""""",,,,,,12345,,,,1
attackWaterCutStronge2,3,1,0,0,,,,,,,,0,1.8,0,3,,12345,,0,,1
attackFireCutSlighte1,2,1,0,0,,,,,attackFireCutSlighte2,1,"""""",,,,,,12345,,,,1
attackFireCutSlighte2,3,1,0,0,,,,,,,,0,1.3,0,4,,12345,,0,,1
attackFireCutMediume1,2,1,0,0,,,,,attackFireCutMediume2,1,"""""",,,,,,12345,,,,1
attackFireCutMediume2,3,1,0,0,,,,,,,,0,1.5,0,4,,12345,,0,,1
attackFireCutStronge1,2,1,0,0,,,,,attackFireCutStronge2,1,"""""",,,,,,12345,,,,1
attackFireCutStronge2,3,1,0,0,,,,,,,,0,1.8,0,4,,12345,,0,,1
attackEarthCutSlighte1,2,1,0,0,,,,,attackEarthCutSlighte2,1,"""""",,,,,,12345,,,,1
attackEarthCutSlighte2,3,1,0,0,,,,,,,,0,1.3,0,5,,12345,,0,,1
attackEarthCutMediume1,2,1,0,0,,,,,attackEarthCutMediume2,1,"""""",,,,,,12345,,,,1
attackEarthCutMediume2,3,1,0,0,,,,,,,,0,1.5,0,5,,12345,,0,,1
attackEarthCutStronge1,2,1,0,0,,,,,attackEarthCutStronge2,1,"""""",,,,,,12345,,,,1
attackEarthCutStronge2,3,1,0,0,,,,,,,,0,1.8,0,5,,12345,,0,,1
attackMetalStabSlighte1,2,1,0,0,,,,,attackMetalStabSlighte2,1,"""""",,,,,,12345,,,,1
attackMetalStabSlighte2,3,1,0,0,,,,,,,,0,1.3,0,1,,12345,,0,,1
attackMetalStabMediume1,2,1,0,0,,,,,attackMetalStabMediume2,1,"""""",,,,,,12345,,,,1
attackMetalStabMediume2,3,1,0,0,,,,,,,,0,1.5,0,1,,12345,,0,,1
attackMetalStabStronge1,2,1,0,0,,,,,attackMetalStabStronge2,1,"""""",,,,,,12345,,,,1
attackMetalStabStronge2,3,1,0,0,,,,,,,,0,1.8,0,1,,12345,,0,,1
attackPlantStabSlighte1,2,1,0,0,,,,,attackPlantStabSlighte2,1,"""""",,,,,,12345,,,,1
attackPlantStabSlighte2,3,1,0,0,,,,,,,,0,1.3,0,2,,12345,,0,,1
attackPlantStabMediume1,2,1,0,0,,,,,attackPlantStabMediume2,1,"""""",,,,,,12345,,,,1
attackPlantStabMediume2,3,1,0,0,,,,,,,,0,1.5,0,2,,12345,,0,,1
attackPlantStabStronge1,2,1,0,0,,,,,attackPlantStabStronge2,1,"""""",,,,,,12345,,,,1
attackPlantStabStronge2,3,1,0,0,,,,,,,,0,1.8,0,2,,12345,,0,,1
attackWaterStabSlighte1,2,1,0,0,,,,,attackWaterStabSlighte2,1,"""""",,,,,,12345,,,,1
attackWaterStabSlighte2,3,1,0,0,,,,,,,,0,1.3,0,3,,12345,,0,,1
attackWaterStabMediume1,2,1,0,0,,,,,attackWaterStabMediume2,1,"""""",,,,,,12345,,,,1
attackWaterStabMediume2,3,1,0,0,,,,,,,,0,1.5,0,3,,12345,,0,,1
attackWaterStabStronge1,2,1,0,0,,,,,attackWaterStabStronge2,1,"""""",,,,,,12345,,,,1
attackWaterStabStronge2,3,1,0,0,,,,,,,,0,1.8,0,3,,12345,,0,,1
attackFireStabSlighte1,2,1,0,0,,,,,attackFireStabSlighte2,1,"""""",,,,,,12345,,,,1
attackFireStabSlighte2,3,1,0,0,,,,,,,,0,1.3,0,4,,12345,,0,,1
attackFireStabMediume1,2,1,0,0,,,,,attackFireStabMediume2,1,"""""",,,,,,12345,,,,1
attackFireStabMediume2,3,1,0,0,,,,,,,,0,1.5,0,4,,12345,,0,,1
attackFireStabStronge1,2,1,0,0,,,,,attackFireStabStronge2,1,"""""",,,,,,12345,,,,1
attackFireStabStronge2,3,1,0,0,,,,,,,,0,1.8,0,4,,12345,,0,,1
attackEarthStabSlighte1,2,1,0,0,,,,,attackEarthStabSlighte2,1,"""""",,,,,,12345,,,,1
attackEarthStabSlighte2,3,1,0,0,,,,,,,,0,1.3,0,5,,12345,,0,,1
attackEarthStabMediume1,2,1,0,0,,,,,attackEarthStabMediume2,1,"""""",,,,,,12345,,,,1
attackEarthStabMediume2,3,1,0,0,,,,,,,,0,1.5,0,5,,12345,,0,,1
attackEarthStabStronge1,2,1,0,0,,,,,attackEarthStabStronge2,1,"""""",,,,,,12345,,,,1
attackEarthStabStronge2,3,1,0,0,,,,,,,,0,1.8,0,5,,12345,,0,,1
