#NUM,#NUM,#NUM
level,exp,fatigue
#level,exp,fatigue
1,100,10000
2,200,20000
3,300,30000
4,400,40000
5,500,50000
6,600,60000
7,700,70000
8,800,80000
9,900,90000
10,1000,100000
11,1100,110000
12,1200,120000
13,1300,130000
14,1400,140000
15,1500,150000
16,1600,160000
17,1700,170000
18,1800,180000
19,1900,190000
20,2000,200000
21,2100,210000
22,2200,220000
23,2300,230000
24,2400,240000
25,2500,250000
26,2600,260000
27,2700,270000
28,2800,280000
29,2900,290000
30,3000,300000
31,3100,310000
32,3200,320000
33,3300,330000
34,3400,340000
35,3500,350000
36,3600,360000
37,3700,370000
38,3800,380000
39,3900,390000
40,4000,400000
41,4100,410000
42,4200,420000
43,4300,430000
44,4400,440000
45,4500,450000
46,4600,460000
47,4700,470000
48,4800,480000
49,4900,490000
50,5000,500000
